food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Beansprouts, mung, stir-fried in rapeseed oil",74,6.1,0.47,2.4,1.4,1.0,0.9,1.9,0.01
"Beef bourguignon, homemade",143,6.2,2.09,2.2,0.8,1.3,0.4,14.1,0.60
"Beef bourguignonne, made with lean beef, homemade",125,4.2,1.25,2.0,0.7,1.3,0.5,14.4,0.58
Beef extract,183,0.6,0.23,2.9,0.4,2.5,0.0,41.5,10.93
"Beef olives, homemade",161,11.0,4.07,1.4,0.3,1.1,0.2,13.9,1.09
"Beef steak pudding, homemade",211,10.2,5.41,17.5,0.8,16.7,1.1,11.7,0.21
"Beef Stroganoff, homemade",174,11.2,6.22,2.4,2.0,0.0,0.6,15.6,0.14
"Beef Wellington, homemade",357,25.5,10.19,14.8,0.8,14.0,1.4,16.5,0.74
"Beef, braising steak, braised, lean and fat",246,12.7,5.30,0.0,0.0,0.0,0.0,32.9,0.15
"Beef, braising steak, braised, lean only",225,9.7,4.10,0.0,0.0,0.0,0.0,34.4,0.16
"Beef, braising steak, raw, lean",139,5.7,2.40,0.0,0.0,0.0,0.0,21.8,0.16
"Beef, braising steak, raw, lean and fat",160,8.6,3.80,0.0,0.0,0.0,0.0,20.7,0.15
"Beef, braising steak, slow cooked, lean",197,7.9,3.40,0.0,0.0,0.0,0.0,31.4,0.13
"Beef, braising steak, slow cooked, lean and fat",217,11.2,4.80,0.0,0.0,0.0,0.0,29.0,0.13
"Beef, brisket, boiled, lean",225,11.0,4.60,0.0,0.0,0.0,0.0,31.4,0.13
"Beef, brisket, boiled, lean and fat",268,17.4,7.20,0.0,0.0,0.0,0.0,27.8,0.12
"Beef, brisket, raw, lean",139,6.1,2.50,0.0,0.0,0.0,0.0,21.1,0.15
"Beef, brisket, raw, lean and fat",218,16.0,6.70,0.0,0.0,0.0,0.0,18.4,0.13
"Beef, fat, average, cooked",533,52.3,24.30,0.0,0.0,0.0,0.0,15.5,0.09
"Beef, fat, average, raw",558,53.6,24.90,0.0,0.0,0.0,0.0,18.9,0.07
"Beef, fat, average, raw, extra trimmed",677,72.2,33.40,0.0,0.0,0.0,0.0,6.8,0.07
"Beef, fillet steak, fried in corn oil, lean",184,7.9,3.40,0.0,0.0,0.0,0.0,28.2,0.17
"Beef, fillet steak, fried in corn oil, lean and fat",192,8.9,3.90,0.0,0.0,0.0,0.0,28.0,0.17
"Beef, fillet steak, from steakhouse, lean",178,7.0,3.20,0.0,0.0,0.0,0.0,28.7,0.15
"Beef, fillet steak, from steakhouse, lean and fat",184,7.8,3.60,0.0,0.0,0.0,0.0,28.5,0.15
"Beef, fillet steak, grilled, lean",189,8.0,3.60,0.0,0.0,0.0,0.0,29.1,0.18
