food_code,units,rse_indicator,years,amount
Other fresh fruit,g,Medium,2001,22.0
Processed fruit and fruit products,g,Low,2001,406.0
"Tinned peaches, pears and pineapples",g,High,2001,19.0
All other tinned or bottled fruit,g,High,2001,21.0
Dried fruit,g,High,2001,17.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2001,1.0
"Nuts, edible seeds and peanut butter",g,Medium,2001,20.0
Nuts and edible seeds,g,Medium,2001,17.0
Peanut butter,g,High,2001,3.0
Pure fruit juices [note 8],ml,Medium,2001,327.0
Bread,g,Very Low,2001,770.0
white bread,g,Low,2001,456.0
"White bread, standard, unsliced",g,High,2001,58.0
"White bread, standard, sliced",g,Low,2001,360.0
"White bread, premium, sliced and unsliced",g,High,2001,34.0
"White bread, soft grain, sliced and unsliced",g,High,2001,4.0
Brown and wholemeal bread,g,Low,2001,141.0
"Brown bread, sliced and unsliced",g,High,2001,36.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2001,106.0
Total other bread,g,Low,2001,173.0
"Rolls - white, brown or wholemeal",g,Medium,2001,75.0
Malt bread and fruit loaves,g,High,2001,9.0
Vienna and french bread,g,Medium,2001,31.0
Starch reduced bread and rolls,g,High,2001,8.0
Other breads,g,Low,2001,37.0
Sandwiches,g,High,2001,8.0
Sandwiches from takeaway,g,High,2001,3.0
Takeaway breads,g,High,2001,2.0
Flour,g,High,2001,55.0
"Cakes, buns and pastries",g,Low,2001,163.0
"Buns, scones and teacakes",g,Low,2001,37.0
Cakes and pastries,g,Low,2001,126.0
"Cakes and pastries, not frozen",g,Low,2001,125.0
Takeaway pastries,g,High,2001,1.0
Biscuits and crispbreads,g,Low,2001,166.0
Crispbread,g,Medium,2001,6.0
Biscuits other than chocolate,g,Low,2001,93.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2001,80.0
Cream crackers and other unsweetened biscuits,g,Medium,2001,13.0
Chocolate biscuits,g,Low,2001,67.0
Other cereals and cereal products,g,Very Low,2001,510.0
Oatmeal and oat products,g,Medium,2001,12.0
Breakfast cereals,g,Low,2001,133.0
Muesli,g,Medium,2001,16.0
High fibre breakfast cereals,g,Medium,2001,54.0
Sweetened breakfast cereals,g,Medium,2001,34.0
Other breakfast cereals,g,Medium,2001,28.0
Canned milk puddings,g,Medium,2001,26.0
Canned or fresh carton custard,g,Medium,2001,12.0
All canned milk puddings,g,High,2001,14.0
